Date,GOOGL,TSLA,FB,AMZN,AAPL,MSFT,VOD,ADBE,NVDA,CRM
2018-03-15,1150.609985,65.12000275,183.8600006,1582.319946,42.89019775,89.94229126,22.88049889,218.8699951,61.80972672,127.2200012
2018-03-16,1134.420044,64.26999664,185.0899963,1571.680054,42.73895645,90.34337616,22.92876816,225.5500031,62.09232712,125.9700012
2018-03-19,1100.069946,62.7120018,172.5599976,1544.930054,42.0859375,88.71031189,22.75177574,222.1799927,59.74229813,124.9800034
2018-03-20,1095.800049,62.11000061,168.1499939,1586.51001,42.07152939,88.93950653,22.47019577,229.75,61.86922455,125.1200027
2018-03-21,1094,63.30599976,169.3899994,1581.859985,41.11841583,88.31878662,22.66327858,226.8500061,61.61637497,121.6999969
2018-03-22,1053.150024,61.81999969,164.8899994,1544.920044,40.53742599,85.74981689,22.01161766,220.5200043,59.95301056,118.0400009
2018-03-23,1026.550049,60.30799866,159.3899994,1495.560059,39.59871674,83.25727081,22.05184364,215.0200043,57.75171661,114.4300003
2018-03-26,1054.089966,60.83599854,160.0599976,1555.859985,41.47853851,89.56027222,22.40583611,228.9100037,60.60496521,118.9700012
2018-03-27,1006.940002,55.83599854,152.2200012,1497.050049,40.41498566,85.44421387,22.19665718,213.8000031,55.90490723,113.8099976
2018-03-28,1005.179993,51.55599976,153.0299988,1431.420044,39.96843338,85.36781311,22.26101875,212.5399933,54.87119675,112.8799973
2018-03-29,1037.140015,53.22600174,159.7899933,1447.339966,40.28053665,87.16320801,22.3816967,216.0800018,57.40961838,116.3000031
2018-04-02,1012.630005,50.49599838,155.3899994,1371.98999,40.01645279,84.53696442,22.05988884,212.2799988,54.79682922,115.3000031
2018-04-03,1018.679993,53.50600052,156.1100006,1392.050049,40.42699051,85.67340088,22.26906395,215.9299927,55.8627739,116.4899979
2018-04-04,1029.709961,57.38800049,155.1000061,1410.569946,41.20004654,88.17552185,22.77590942,225.0500031,56.08339691,119.4800034
2018-04-05,1032.640015,61.14400101,159.3399963,1451.75,41.48573685,88.2232666,23.15403748,223.5399933,54.87863541,119.0400009
2018-04-06,1009.950012,59.86000061,157.1999969,1405.22998,40.42459106,86.16999817,23.18621445,218.6100006,53.11114883,116.0999985
2018-04-09,1020.090027,57.93199921,157.9299927,1406.079956,40.82551575,86.68571472,23.29080391,219.1699982,53.39870834,117.1900024
2018-04-10,1036.5,60.93999863,165.0399933,1436.219971,41.5937767,88.70077515,23.66088104,224.5299988,56.49737549,119.4899979
2018-04-11,1025.060059,60.18600082,166.3200073,1427.050049,41.39930725,87.72667694,23.66088104,223.6300049,56.08339691,119.1600037
2018-04-12,1037.290039,58.81600189,163.8699951,1448.5,41.80744934,89.36927795,23.92637253,226.9600067,58.15578079,121.4000015
2018-04-13,1036.040039,60.06800079,164.5200043,1430.790039,41.94908905,88.89178467,23.95050812,224.0599976,57.38731003,119.0100021
2018-04-16,1046.099976,58.24200058,164.8300018,1441.5,42.21077728,89.93271637,24.13554764,226.5200043,57.38483429,119.4100037
2018-04-17,1079.359985,57.5379982,168.6600037,1503.829956,42.79176712,91.74723816,23.9987793,231.1600037,58.8845787,123.3499985
2018-04-18,1075.390015,58.66999817,166.3600006,1527.839966,42.6957283,92.10059357,23.92637253,231.1000061,58.59454727,124.4599991
2018-04-19,1089.449951,60.01599884,168.1000061,1556.910034,41.48573685,91.78543854,23.70110703,227.6199951,56.77750015,124.0599976
2018-04-20,1077.319946,58.04800034,166.2799988,1527.48999,39.78598022,90.72537994,23.92637253,225.2400055,56.69569016,122.8199997
2018-04-23,1073.810059,56.67399979,165.8399963,1517.859985,39.67073059,91.05962372,24.19186211,225.3000031,55.49836349,121.8899994
2018-04-24,1022.640015,56.69200134,159.6900024,1460.089966,39.11855316,88.92998505,24.0068264,217.8899994,54.83401108,117.8799973
2018-04-25,1022.98999,56.13800049,159.6900024,1460.170044,39.28901291,88.15641785,23.79764938,217.3200073,53.70858383,117.3199997
2018-04-26,1043.310059,57.09600067,174.1600037,1517.959961,39.42585754,90.01866913,24.07923317,221.9100037,55.83054352,120.8300018
2018-04-27,1031.449951,58.81600189,173.5899963,1572.619995,38.96970749,91.50846863,23.74133301,221.8999939,56.10570526,120.2200012
2018-04-30,1018.580017,58.77999878,172,1566.130005,39.67553329,89.3119812,23.66088104,221.6000061,55.75121307,120.9899979
2018-05-01,1040.75,59.98400116,173.8600006,1582.26001,40.59744263,90.72537994,23.43561363,224.0800018,56.30649567,123.1100006
2018-05-02,1026.050049,60.22999954,176.0700073,1569.680054,42.39083862,89.30243683,23.42757034,221.1000061,56.10074234,122.8199997
2018-05-03,1026.300049,56.88999939,174.0200043,1572.079956,42.467659,89.8372345,23.32298279,226.0500031,57.75667191,124.4100037
2018-05-04,1051,58.81800079,176.6100006,1580.949951,44.13381195,90.87818146,23.21035194,228.5099945,59.26138687,125.1200027
2018-05-07,1059.459961,60.55400085,177.9700012,1600.140015,44.45311356,91.89048767,23.20230675,230.9900055,61.64611816,126.9700012
2018-05-08,1058.589966,60.39400101,178.9199982,1592.390015,44.66679764,91.49893188,22.97703934,234.5599976,62.07249451,128.75
2018-05-09,1088.949951,61.36999893,182.6600037,1608,44.98129654,92.57809448,23.17012215,239.7400055,63.40615463,129.7299957
2018-05-10,1105.469971,61.00400162,185.5299988,1609.079956,45.62471008,93.50444794,23.15403748,241.1499939,64.48451996,130.6199951
2018-05-11,1103.380005,60.2120018,186.9900055,1602.910034,45.45119095,93.30390167,23.14599037,241.8800049,63.0962944,130.6300049
2018-05-14,1106.599976,58.39400101,186.6399994,1601.540039,45.34513092,93.61904144,22.82418251,238.3699951,63.30204391,127.6900024
2018-05-15,1084.869995,56.83599854,184.3200073,1576.119995,44.93301773,92.94099426,21.75417137,236.6000061,60.87268829,128.1300049
2018-05-16,1084.089966,57.29600143,183.1999969,1587.280029,45.35237122,93.1807785,21.40018463,237.3899994,60.98424149,128.7700043
2018-05-17,1081.26001,56.90800095,183.7599945,1581.76001,45.06557083,92.25041962,21.40823174,236.8500061,61.40566254,126.0500031
2018-05-18,1069.640015,55.36399841,182.6799927,1574.369995,44.90168381,92.42304993,21.2473278,238.0899963,60.96688843,126.9599991
2018-05-21,1084.01001,56.89799881,184.4900055,1585.459961,45.21981812,93.61239624,21.35191536,238.1000061,60.54547882,126.3700027
2018-05-22,1075.310059,55.0019989,183.8000031,1581.400024,45.10654068,93.51648712,21.67372131,238.7899933,60.16371536,125.4400024
2018-05-23,1085.959961,55.81399918,186.8999939,1601.859985,45.39575577,94.62908936,21.39214134,243.9100037,61.40146637,128.0899963
2018-05-24,1085.449951,55.56999969,185.9299927,1603.069946,45.34513092,94.29338074,21.15883064,245.1499939,61.43867493,128.7400055
2018-05-25,1084.079956,55.77000046,184.9199982,1610.150024,45.44876862,94.34133148,21.04619789,243.5599976,61.83308029,127.9599991
2018-05-29,1068.069946,56.7519989,185.7400055,1612.869995,45.28488159,94.00562286,20.84506416,242.1900024,61.66191483,126.8799973
2018-05-30,1077.469971,58.34400177,187.6699982,1624.890015,45.18848801,94.90724182,21.05424309,247.3999939,62.75332642,129.3000031
2018-05-31,1100,56.94599915,191.7799988,1629.619995,45.03665161,94.80172729,20.86115646,249.2799988,62.55488968,129.3300018
2018-06-01,1135,58.36399841,193.9900055,1641.540039,45.84884262,96.67206573,21.11860466,251.3099976,63.90177155,130.5200043
2018-06-04,1153.040039,59.34799957,193.2799988,1665.27002,46.23204803,97.51611328,21.2473278,253.3399963,65.69515991,132.6499939
2018-06-05,1151.02002,58.22600174,192.9400024,1696.349976,46.58872986,98.01486969,21.11055946,252.6999969,65.74972534,134.1199951
2018-06-06,1146.949951,63.90000153,191.3399963,1695.75,46.75019073,98.30259705,21.33582497,253.9499969,65.76957703,135.5500031
2018-06-07,1134.420044,63.2179985,188.1799927,1689.300049,46.62488937,96.75837708,21.23798561,247.5099945,65.21147919,132.9100037
2018-06-08,1132.709961,63.5320015,189.1000061,1683.98999,46.20070267,97.47774506,21.26328468,251.2100067,65.05767059,133.5299988
2018-06-11,1140.900024,66.41999817,191.5399933,1689.119995,46.08743668,96.9214325,21.38137054,251,64.64591217,133.9799957
2018-06-12,1148.189941,68.55400085,192.3999939,1698.75,46.34049225,97.17081451,21.30545998,252.5899963,65.13209534,136.2599945
2018-06-13,1144.22998,68.95600128,192.4100037,1704.859985,45.95970154,96.72961426,20.82469749,256.1300049,65.08742523,136.5
2018-06-14,1160.109985,71.54399872,196.8099976,1723.859985,45.9838028,97.27632141,21.06929207,258.1000061,66.20613861,138.4100037
2018-06-15,1159.27002,71.63400269,195.8500061,1715.969971,45.51143265,96.03901672,20.86686516,251.8200073,65.79685974,138.4100037
2018-06-18,1183.579956,74.16600037,198.3099976,1723.790039,45.48733139,96.73919678,20.65600395,255.6900024,65.75467682,139.8000031
2018-06-19,1178.689941,70.51000214,197.4900055,1734.780029,44.75226974,96.73919678,20.67287445,251.7400055,64.53430176,139.5200043
2018-06-20,1184.069946,72.44400024,202,1750.079956,44.94747925,97.70794678,20.74035072,251.2400055,65.06510925,138.9400024
2018-06-21,1169.439941,69.5019989,201.5,1730.219971,44.69683456,97.00775146,20.63913345,248.8300018,63.77528,137.8800049
2018-06-22,1169.290039,66.72599792,201.7400055,1715.670044,44.56669235,96.30758667,20.97651672,243.6300049,62.24730682,135.0099945
2018-06-25,1139.280029,66.60199738,196.3500061,1663.150024,43.90392303,94.37013245,20.69817734,239.6799927,59.31291962,133.1900024
2018-06-26,1132.619995,68.40000153,199,1691.089966,44.44860077,95.03192139,20.50418282,242.25,60.02480316,135.4799957
2018-06-27,1116.939941,68.90000153,195.8399963,1660.51001,44.38353729,93.55483246,20.27645493,237.6799927,58.4695549,133.2200012
2018-06-28,1126.780029,69.98600006,196.2299957,1701.449951,44.70647049,94.60030365,20.44514275,239.8099976,59.74451828,135.1199951
2018-06-29,1129.189941,68.58999634,194.3200073,1699.800049,44.61248398,94.58113861,20.50418282,243.8099976,58.76225281,136.3999939
2018-07-02,1142.109985,67.01399994,197.3600006,1713.780029,45.11136246,95.92392731,20.44514275,243.2599945,60.08682632,140.4299927
2018-07-03,1116.280029,62.17200089,192.7299957,1693.959961,44.32569122,95.00315857,20.71504593,242.0099945,58.74737549,137.8399963
2018-07-05,1141.290039,61.83200073,198.4499969,1699.72998,44.68237305,95.68413544,21.06929207,244.1799927,60.20837021,139.7700043
2018-07-06,1155.079956,61.77999878,203.2299957,1710.630005,45.301754,97.02693939,21.35606575,248.1900024,61.34937668,141.3999939
2018-07-09,1167.280029,63.70199966,204.7400055,1739.02002,45.93078232,97.68874359,21.25485229,249.7700043,61.82563019,141.7599945
2018-07-10,1167.140015,64.4940033,203.5399933,1743.069946,45.87534714,97.94773102,21.27172089,248.6300049,62.81781006,142.4499969
2018-07-11,1171.459961,63.79199982,202.5399933,1755,45.28007126,97.81343842,20.48731422,248.1199951,61.39899063,145.25
2018-07-12,1201.26001,63.34199905,206.9199982,1796.619995,46.03924179,99.93314362,20.54636002,254.8699951,62.31676483,148.1600037
2018-07-13,1204.420044,63.77399826,207.3200073,1813.030029,46.11153412,101.1224899,20.37767029,258.5899963,61.84299469,147.6100006
2018-07-16,1196.51001,62.02000046,207.2299957,1822.48999,46.01031876,100.6237259,20.42827415,254.6799927,61.56517792,146.9600067
2018-07-17,1213.079956,64.53800201,209.9900055,1843.930054,46.14046478,101.6212311,20.14150238,258.3099976,62.92695999,147.0200043
2018-07-18,1212.910034,64.76999664,209.3600006,1842.920044,45.88740921,100.8251648,19.97281647,259.7799988,62.43334579,147.8399963
2018-07-19,1199.099976,64.04599762,208.0899963,1812.969971,46.24409103,100.1345673,19.63543701,257.6799927,62.51520157,147.1600037
2018-07-20,1197.880005,62.7159996,209.9400024,1813.699951,46.13804626,101.9281693,19.77882385,257.5400085,62.23243332,146.8699951
2018-07-23,1211,60.63999939,210.9100037,1802,46.17901993,103.5587082,19.82099533,259.4700012,61.86531448,147.5599976
2018-07-24,1258.150024,59.48600006,214.6699982,1829.23999,46.51401138,103.2613678,19.97281647,257.4899902,61.69168854,146
